"1","administrator","administrator"
"2","kinnison","kinnison"
"3","rjek","rjek"
"4","vince","kyllikki1"
"5","tlsa","tlsa"
"6","Ole Loots","Ole Loots"
"7","import","nobody"
"8","jmb","jmb202"
"9","bursa","bursa"
"10","chris_y","chris_y"
"11","kbagust","kbagust"
"12","zc0rn","zc0rn"
"13","phlamethrower","phlamethrower"
"14","fritspolak","fritspolak"
"15","mihai_militaru","mihai_militaru"
"16","adrianl","adrianl"
"17","jess-h","jess-h"
"18","ciminaghi","ciminaghi"
"19","phorth","phorth"
"20","arturox","arturox"
"21","john_m_w","john_m_w"
"22","sbellon","sbellon"
"23","grandy426","grandy426"
"24","david_briggs","david_briggs"
"25","terrahawk","terrahawk"
"26","yorkey","yorkey"
"27","gilbern","gilbern"
"28","k_the_ripper","k_the_ripper"
"29","quattrocchi_4","quattrocchi_4"
"30","cheatwarrior","cheatwarrior"
"31","somalenny","somalenny"
"32","delink","delink"
"33","cmatt23","cmatt23"
"34","aapoaapo","aapoaapo"
"35","ianwolfe","ianwolfe"
"36","rienmertens","rienmertens"
"37","rps102","rps102"
"38","raziel_","raziel_"
"39","wref","wref"
"40","jaggies","jaggies"
"41","ojab","ojab"
"42","plvera","plvera"
"43","element3260","element3260"
"44","elgaard","elgaard"
"45","cshore","cshore"
"46","markiemark1","markiemark1"
"47","haary","haary"
"48","alex_zhenhua","alex_zhenhua"
"49","jeremynicoll","jeremynicoll"
"50","spanners","spanners"
"51","wpblatchley","wpblatchley"
"52","xmw","xmw"
"53","trevj","trevj"
"54","epring","epring"
"55","p1ranha-rob","p1ranha-rob"
"56","c00kiemon5ter","c00kiemon5ter"
"57","anthonyjbentley","anthonyjbentley"
"58","jeremy-c-reed","jeremy-c-reed"
"59","rjdsfnet","rjdsfnet"
"60","realh","realh"
"61","robsrfnet","robsrfnet"
"62","shawn2001","shawn2001"
"63","bbracke","bbracke"
"64","siliconowl","siliconowl"
"65","ksattic","ksattic"
"66","djsdjsdjs","djsdjsdjs"
"67","caliston","caliston"
"68","alexanro","alexanro"
"69","vinc17","vinc17"
"70","scachi","scachi"
"71","jerseychewi","jerseychewi"
"72","pferrucci","pferrucci"
"73","samuellb","samuellb"
"74","bmcquill","bmcquill"
"75","xscalewag","xscalewag"
"76","tempus_fugit","tempus_fugit"
"77","bapfish","bapfish"
"78","bernd_afa","bernd_afa"
"79","bawdsey","bawdsey"
"80","ericthelog","ericthelog"
"81","jesshampshire","jesshampshire"
"82","jameslampard","jameslampard"
"83","mephillips","mephillips"
"84","andypoole","andypoole"
"85","blahsnr","blahsnr"
"86","gerph","gerph"
"87","arturjar","arturjar"
"88","steve-f","steve-f"
"89","takkaria","takkaria"
"90","goesele","goesele"
"91","lawetc","lawetc"
"92","evanallen","evanallen"
"93","mdjhobbs","mdjhobbs"
"94","revinkevin","revinkevin"
"95","rkd77","rkd77"
"96","leonstr","leonstr"
"97","martinwynn","martinwynn"
"98","george_gre","george_gre"
"99","hmphillips","hmphillips"
"100","moe85","moe85"
"101","zcorn","zcorn"
"102","jamesshaw","jamesshaw"
"103","jmsargent","jmsargent"
"104","brian_j","brian_j"
"105","bernarduk","bernarduk"
"106","adamr7747","adamr7747"
"107","leptoquark","leptoquark"
"108","sa110_mk","sa110_mk"
"109","czantra","czantra"
"110","fwohlgemuth","fwohlgemuth"
"111","jjvdgeer","jjvdgeer"
"112","jr198","jr198"
"113","riscosman","riscosman"
"114","rik_g","rik_g"
"115","samo79","samo79"
"116","dsalt","dsalt"
"117","jimnagel","jimnagel"
"118","simon_smith","simon_smith"
"119","mittens","mittens"
"120","cjt02","cjt02"
"121","jtytgat","jtytgat"
"122","sclaes","sclaes"
"123","druck","druck"
"124","pnyoung","pnyoung"
"125","davehigton","davehigton"
"126","old_coaster","old_coaster"
"127","harriet","harriet"
"128","minijem","minijem"
